date,max_temp,min_temp,avg_temp,depart,HDD,CDD,precip,new_snow,snow_depth
2006-03-14,75,43,59,12.3,6,0,T,0,0
2006-03-15,52,40,46,-1.1,19,0,0,0,0
2006-03-16,57,39,48,0.6,17,0,T,0,0
2006-03-17,52,41,46.5,-1.2,18,0,T,0,0
2006-03-18,48,30,39,-9,26,0,0,0,0
2006-03-19,53,28,40.5,-7.8,24,0,0,0,0
2006-03-20,48,33,40.5,-8.2,24,0,0,0,0
2006-03-21,41,30,35.5,-13.5,29,0,0.01,T,0
2006-03-22,47,32,39.5,-9.8,25,0,T,T,0
2006-03-23,51,32,41.5,-8.2,23,0,0,0,0
2006-03-24,53,38,45.5,-4.5,19,0,0,0,0
2006-03-25,54,37,45.5,-4.9,19,0,T,0,0
2006-03-26,53,35,44,-6.7,21,0,0,0,0
2006-03-27,58,38,48,-3.1,17,0,0,0,0
2006-03-28,63,43,53,1.5,12,0,0.01,0,0
2006-03-29,65,47,56,4.2,9,0,0,0,0
2006-03-30,69,42,55.5,3.3,9,0,0,0,0
2006-03-31,78,48,63,10.4,2,0,0,0,0
2007-03-01,56,36,46,2.8,19,0,0.19,0,0
2007-03-02,64,43,53.5,10.1,11,0,0.57,0,0
2007-03-03,60,35,47.5,3.8,17,0,0,0,0
2007-03-04,41,31,36,-7.9,29,0,0,0,0
2007-03-05,52,26,39,-5.2,26,0,0,0,0
2007-03-06,33,20,26.5,-18,38,0,0,0,0
2007-03-07,29,24,26.5,-18.2,38,0,0.15,1.8,0
2007-03-08,40,20,30,-15,35,0,0,0,1
2007-03-09,46,27,36.5,-8.8,28,0,0,0,0
2007-03-10,67,33,50,4.4,15,0,0.04,0,0
2007-03-11,59,41,50,4.1,15,0,0.05,0,0
2007-03-12,58,33,45.5,-0.7,19,0,0,0,0
2007-03-13,71,41,56,9.6,9,0,0,0,0
2007-03-14,81,50,65.5,18.8,0,1,T,0,0
2007-03-15,75,39,57,9.9,8,0,0.36,0,0
2007-03-16,41,30,35.5,-11.9,29,0,1.79,0.1,0
2007-03-17,36,29,32.5,-15.2,32,0,T,T,T
2007-03-18,44,29,36.5,-11.5,28,0,0,0,0
2007-03-19,56,28,42,-6.3,23,0,T,0,0
2007-03-20,63,43,53,4.3,12,0,0,0,0
2007-03-21,44,38,41,-8,24,0,T,0,0
2007-03-22,75,43,59,9.7,6,0,T,0,0
2007-03-23,78,53,65.5,15.8,0,1,T,0,0
2007-03-24,57,49,53,3,12,0,0.04,0,0
2007-03-25,63,43,53,2.6,12,0,0,0,0
2007-03-26,65,43,54,3.3,11,0,0,0,0
2007-03-27,83,52,67.5,16.4,0,3,0,0,0
2007-03-28,72,54,63,11.5,2,0,0,0,0
2007-03-29,63,43,53,1.2,12,0,0,0,0
2007-03-30,65,39,52,-0.2,13,0,0,0,0
2007-03-31,62,44,53,0.4,12,0,0,0,0
2008-03-01,52,37,44.5,1.3,20,0,T,0,0
2008-03-02,53,31,42,-1.4,23,0,0,0,0
2008-03-03,70,38,54,10.3,11,0,0,0,0
2008-03-04,72,55,63.5,19.6,1,0,0.39,0,0
2008-03-05,64,39,51.5,7.3,13,0,0.45,0,0
2008-03-06,57,37,47,2.5,18,0,0,0,0
2008-03-07,50,39,44.5,-0.2,20,0,0.59,0,0
2008-03-08,65,34,49.5,4.5,15,0,0.18,0,0
2008-03-09,46,29,37.5,-7.8,27,0,0,0,0
2008-03-10,51,33,42,-3.6,23,0,T,0,0
2008-03-11,54,38,46,0.1,19,0,T,0,0
2008-03-12,59,40,49.5,3.3,15,0,0,0,0
2008-03-13,62,36,49,2.6,16,0,0,0,0
